"stnm","stlon","stlat","Rhyp","Rrup","Repi","siteClass","AVS30","AVS20","Ts","PGA1","PGA2","PGA3","PGA4","PGA5","PGA1.1","PGA2.1","PGA3.1","PGA4.1","PGA5.1","sigma","valid","event.num","mag","eq.type","depth","resids","model"
"OKYH06",133.5283,34.6756,455.854235,441.194,455.365388,"rock",549,488,0.086486,0.286863,0.258422,0.289217,0.161147,0.141166,-1,0.291491,-1,-1,-1,0.21,0,20091105075.74,6.2,"intra-plate",23.3,-0.0522956668535353,"1990FT"
"HRSH05",133.4179,34.5566,466.808496,452.374,466.336265,"hard-soil",370,350,0.342857,0.242996,0.233527,0.272071,0.186027,0.142595,-1,0.464775,-1,-1,-1,0.21,0,20091105075.74,6.2,"intra-plate",23.3,-0.298905659336816,"1990FT"
"MYGH05",140.7804,38.5793,468.396629,462.617,467.692264,"soft-soil",305,283,0.885214,0.516414,0.477279,0.525565,0.310702,0.23923,-1,0.545199,-1,-1,-1,0.21,0,20091105075.74,6.2,"intra-plate",23.3,-0.0577827245030618,"1990FT"
"TTRH02",133.3909,35.2313,469.304132,454.087,468.816419,"medium-soil",310,253,0.472549,0.51841,0.461593,0.527796,0.340329,0.17259,-1,0.371494,-1,-1,-1,0.21,0,20091105075.74,6.2,"intra-plate",23.3,0.094307410313633,"1990FT"
"HRSH04",133.3493,34.3785,475.045616,460.922,474.58753,"hard-soil",447,333,0.228571,0.187956,0.162539,0.209917,0.134408,0.087417,-1,0.426819,-1,-1,-1,0.21,0,20091105075.74,6.2,"intra-plate",23.3,-0.419286160471621,"1990FT"
"MYGH06",141.071,38.5907,481.367413,476.263,480.6768,"rock",593,554,0.04,0.297927,0.269835,0.347606,0.238968,0.23075,-1,0.205571,-1,-1,-1,0.21,0,20091105075.74,6.2,"intra-plate",23.3,0.118136432334959,"1990FT"
"SMNH01",133.2604,35.2963,481.740011,466.55,481.265281,"hard-soil",464,368,0.231724,0.267078,0.20159,0.283835,0.169979,0.185199,-1,0.40361,-1,-1,-1,0.21,0,20091105075.74,6.2,"intra-plate",23.3,-0.30149293309479,"1990FT"
"YMTH08",140.0333,38.9701,484.716073,476.608,484.038257,"hard-soil",320,272,0.361525,0.319024,0.28057,0.324485,0.197633,0.240091,-1,0.365355,-1,-1,-1,0.21,0,20091105075.74,6.2,"intra-plate",23.3,-0.114673823025081,"1990FT"
"SMNH02",133.0856,35.2235,496.921185,481.896,496.465595,"rock",502,421,0.145455,0.276761,0.256952,0.335527,0.235993,0.219635,-1,0.194456,-1,-1,-1,0.21,0,20091105075.74,6.2,"intra-plate",23.3,0.121030654408564,"1990FT"
"SMNH15",133.0226,35.5232,506.030146,490.843,505.576108,"hard-soil",386,307,0.276,0.26676,0.254016,0.299305,0.196153,0.243406,-1,0.317558,-1,-1,-1,0.21,0,20091105075.74,6.2,"intra-plate",23.3,-0.0969619851763003,"1990FT"
"HRSH09",132.9524,34.7016,508.363903,493.963,507.933832,"rock",495,409,0.12,0.151004,0.1244,0.155131,0.088631,0.148258,-1,0.1727,-1,-1,-1,0.21,0,20091105075.74,6.2,"intra-plate",23.3,-0.142471957212659,"1990FT"
"AKTH03",140.1283,39.2223,513.863568,505.715,513.216785,"medium-soil",320,277,0.583426,0.275565,0.240123,0.299293,0.210084,0.127952,-1,0.22321,-1,-1,-1,0.21,0,20091105075.74,6.2,"intra-plate",23.3,0.0317201131502277,"1990FT"
"IWTH26",141.0013,38.969,515.626641,509.722,514.97424,"hard-soil",371,320,0.367843,0.212308,0.207809,0.243958,0.169078,0.159389,-1,0.263998,-1,-1,-1,0.21,0,20091105075.74,6.2,"intra-plate",23.3,-0.103936284259434,"1990FT"
"SMNH12",132.8558,35.1634,517.376075,502.548,516.94346,"rock",590,447,0.133333,0.248361,0.191883,0.250237,0.154238,0.183606,-1,0.158775,-1,-1,-1,0.21,0,20091105075.74,6.2,"intra-plate",23.3,0.0822543784247564,"1990FT"
"HRSH18",132.7923,34.4572,524.947246,510.959,524.539152,"hard-soil",402,315,0.253485,0.187654,0.14795,0.187794,0.112098,0.092108,-1,0.260834,-1,-1,-1,0.21,0,20091105075.74,6.2,"intra-plate",23.3,-0.246249232018598,"1990FT"
"SMNH03",132.7223,35.2243,529.894055,515.104,529.472139,"rock",434,361,0.188462,0.467922,0.464667,0.487922,0.322695,0.218089,-1,0.140477,-1,-1,-1,0.21,0,20091105075.74,6.2,"intra-plate",23.3,0.51953660663676,"1990FT"
"IWTH24",141.0118,39.1979,538.865817,532.644,538.236305,"soft-soil",486,447,0.722678,0.371417,0.369327,0.439955,0.297859,0.224827,-1,0.274532,-1,-1,-1,0.21,0,20091105075.74,6.2,"intra-plate",23.3,0.128818084349186,"1990FT"
"HRSH07",132.6411,34.2883,540.888321,527.22,540.498477,"hard-soil",461,479,0.345149,0.225548,0.219101,0.26965,0.190599,0.103121,-1,0.222719,-1,-1,-1,0.21,0,20091105075.74,6.2,"intra-plate",23.3,-0.00711290823792088,"1990FT"
"AKTH16",140.3481,39.545,553.675396,545.675,553.064892,"soft-soil",375,346,0.613675,0.222931,0.217405,0.253346,0.167475,0.173495,-1,0.242105,-1,-1,-1,0.21,0,20091105075.74,6.2,"intra-plate",23.3,-0.0467342306603045,"1990FT"
"IWTH16",140.9465,39.6436,581.752925,574.826,581.161546,"rock",534,502,0.173626,0.227281,0.185485,0.253233,0.164806,0.143423,-1,0.079043,-1,-1,-1,0.21,0,20091105075.74,6.2,"intra-plate",23.3,0.370445379262925,"1990FT"
"IWTH15",141.0929,39.6148,583.803444,577.194,583.212703,"soft-soil",337,300,0.96,0.233659,0.220179,0.237227,0.16037,0.130503,-1,0.17903,-1,-1,-1,0.21,0,20091105075.74,6.2,"intra-plate",23.3,0.0898500832649659,"1990FT"
"YMGH09",131.6681,34.6257,626.267154,612.794,625.935563,"hard-soil",303,246,0.386211,0.183232,0.143335,0.184563,0.114515,0.094637,-1,0.098342,-1,-1,-1,0.21,0,20091105075.74,6.2,"intra-plate",23.3,0.16361321439278,"1990FT"
